xref_interpro,count,interpro_name
IPR036231,3,Avirulence B/C superfamily (homologous_superfamily)
IPR036873,3,Rhodanese-like domain superfamily (homologous_superfamily)
IPR036862,3,"Integrase, C-terminal domain superfamily, retroviral (homologous_superfamily)"
IPR008798,3,Avirulence B/C (family)
IPR036282,3,"Glutathione S-transferase, C-terminal domain superfamily (homologous_superfamily)"
IPR045247,3,Oxidoreductase Oye-like (family)
IPR008688,3,"ATP synthase, F0 complex, subunit B/MI25 (family)"
IPR050134,3,NAD-dependent sirtuin protein deacylases (family)
IPR008155,3,Amyloidogenic glycoprotein (family)
IPR036377,3,Gp120 core superfamily (homologous_superfamily)
IPR008154,3,"Amyloidogenic glycoprotein, extracellular (domain)"
IPR051540,3,S-2-haloalkanoic acid dehalogenase (family)
IPR046328,3,ETS family (family)
IPR053495,3,Avirulence B/C-like (family)
IPR054535,3,"HphA, N-terminal heme-binding domain (domain)"
IPR050095,3,Energy-coupling factor transporter ATP-binding (family)
IPR054536,3,"HphA, C-terminal domain (domain)"
IPR007060,3,Septum formation initiator FtsL/DivIC (family)
IPR029070,3,Chitinase insertion domain superfamily (homologous_superfamily)
IPR050491,3,Bacterial Cell Wall Synthesis and Modification (family)
IPR038178,3,Kringle superfamily (homologous_superfamily)
IPR041155,3,FERM F1 lobe ubiquitin-like domain (domain)
IPR022352,3,Insulin family (family)
IPR018061,3,Retropepsins (domain)
IPR018056,3,"Kringle, conserved site (conserved_site)"
IPR036669,3,"Amyloidogenic glycoprotein, copper-binding domain superfamily (homologous_superfamily)"
IPR017947,3,"Aryldialkylphosphatase, zinc-binding site (binding_site)"
IPR017938,3,Riboflavin synthase-like beta-barrel (homologous_superfamily)
IPR022353,3,"Insulin, conserved site (conserved_site)"
IPR017927,3,"FAD-binding domain, ferredoxin reductase-type (domain)"
IPR041046,3,"JAK, FERM F2 lobe domain (domain)"
IPR017892,3,"Protein kinase, C-terminal (domain)"
IPR043519,3,Nucleotidyltransferase superfamily (homologous_superfamily)
IPR017452,3,"GPCR, rhodopsin-like, 7TM (domain)"
IPR041033,3,"SpaA-like, prealbumin fold domain subgroup 1 (domain)"
IPR017241,3,Toll-like receptor (family)
IPR016251,3,"Tyrosine-protein kinase, non-receptor Jak/Tyk2 (family)"
IPR016201,3,PSI domain (domain)
IPR016186,3,C-type lectin-like/link domain superfamily (homologous_superfamily)
IPR023081,3,Cell division protein FtsB (family)
IPR016179,3,Insulin-like (domain)
IPR018184,3,"Integrin alpha chain, C-terminal cytoplasmic region, conserved site (conserved_site)"
IPR020904,3,"Short-chain dehydrogenase/reductase, conserved site (conserved_site)"
IPR046906,3,"Mab-21-like, HhH/H2TH-like domain (domain)"
IPR020902,3,Actin/actin-like conserved site (conserved_site)
IPR000008,3,C2 domain (domain)
IPR020454,3,Diacylglycerol/phorbol-ester binding (domain)
IPR020440,3,"Interleukin-17, chordata (family)"
IPR020084,3,"NUDIX hydrolase, conserved site (conserved_site)"
IPR019786,3,"Zinc finger, PHD-type, conserved site (conserved_site)"
IPR041161,3,"Tenascin, EGF-like domain (domain)"
IPR041381,3,"JAK1-3/TYK2, pleckstrin homology-like domain (domain)"
IPR041408,3,Hemolysin coregulated protein (Hcp) TssD (family)
IPR042080,3,"RNA 2'-phosphotransferase, N-terminal domain (homologous_superfamily)"
IPR020843,3,"Polyketide synthase, enoylreductase domain (domain)"
IPR019747,3,FERM conserved site (conserved_site)
IPR019745,3,"Amyloidogenic glycoprotein, intracellular domain, conserved site (conserved_site)"
IPR019744,3,"Amyloidogenic glycoprotein, copper-binding domain conserved site (conserved_site)"
IPR019543,3,Beta-amyloid precursor protein C-terminal (domain)
IPR019489,3,"Clp ATPase, C-terminal (domain)"
IPR042081,3,"RNA 2'-phosphotransferase, C-terminal domain (homologous_superfamily)"
IPR018980,3,"FERM, C-terminal PH-like domain (domain)"
IPR018979,3,"FERM, N-terminal (domain)"
IPR020901,3,"Proteinase inhibitor I2, Kunitz, conserved site (conserved_site)"
IPR016039,3,Thiolase-like (homologous_superfamily)
IPR023696,3,Ureohydrolase domain superfamily (homologous_superfamily)
IPR029035,3,DHS-like NAD/FAD-binding domain superfamily (homologous_superfamily)
IPR026444,3,Secretion system C-terminal sorting domain (domain)
IPR013649,3,"Integrin alpha, first immunoglubulin-like domain (domain)"
IPR013519,3,Integrin alpha beta-propellor (repeat)
IPR013517,3,FG-GAP repeat (repeat)
IPR050386,3,Glycosyl Hydrolase 5 (Cellulase A) (family)
IPR013217,3,Methyltransferase type 12 (domain)
IPR013201,3,Cathepsin propeptide inhibitor domain (I29) (domain)
IPR013151,3,Immunoglobulin-like beta-sandwich domain (domain)
IPR013149,3,"Alcohol dehydrogenase-like, C-terminal (domain)"
IPR013128,3,Peptidase C1A (family)
IPR013112,3,FAD-binding 8 (domain)
IPR048285,3,"Integrin alpha, second immunoglobulin-like domain (domain)"
IPR020471,3,Aldo-keto reductase (family)
IPR028082,3,Periplasmic binding protein-like I (homologous_superfamily)
IPR028994,3,"Integrin alpha, N-terminal (homologous_superfamily)"
IPR029016,3,GAF-like domain superfamily (homologous_superfamily)
IPR012354,3,Esterase/lipase (family)
IPR029033,3,Histidine phosphatase superfamily (homologous_superfamily)
IPR038372,3,"Influenza RNA-dependent RNA polymerase subunit PA, endonuclease domain (homologous_superfamily)"
IPR029034,3,Cystine-knot cytokine (homologous_superfamily)
IPR026590,3,"Sirtuin family, catalytic core domain (domain)"
IPR013837,3,"ATP synthase, F0 complex, subunit B (family)"
IPR015877,3,"Cdk-activating kinase assembly factor MAT1, centre (domain)"
IPR050284,3,Histone deacetylase and polyamine deacetylase (family)
IPR015856,3,"ABC transporter, CbiO/EcfA subunit (domain)"
IPR015854,3,"ABC transporter, lipoprotein release, LolD-like (family)"
IPR015849,3,"Amyloidogenic glycoprotein, heparin-binding (domain)"
IPR023801,3,Histone deacetylase domain (domain)
IPR015810,3,"Photosynthetic reaction centre, H subunit, N-terminal (domain)"
IPR023827,3,"Peptidase S8, subtilisin, Asp-active site (active_site)"
IPR014838,3,Poliovirus 3A protein-like (domain)
IPR044066,3,TRIAD supradomain (domain)
IPR024329,3,"Amyloidogenic glycoprotein, E2 domain (domain)"
IPR044156,3,Galectin-like (family)
IPR039417,3,Papain-like cysteine endopeptidase (domain)
IPR039261,3,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain (homologous_superfamily)"
IPR024810,3,MAB21L/Cyclic GMP-AMP synthase-like receptor (family)
IPR014747,3,"Bacterial photosynthetic reaction centre, H-chain, C-terminal (homologous_superfamily)"
IPR014722,3,"Large ribosomal subunit protein uL2, domain 2 (homologous_superfamily)"
IPR014720,3,Double-stranded RNA-binding domain (domain)
IPR014710,3,RmlC-like jelly roll fold (homologous_superfamily)
IPR025660,3,"Cysteine peptidase, histidine active site (active_site)"
IPR025661,3,"Cysteine peptidase, asparagine active site (active_site)"
IPR036691,3,Endonuclease/exonuclease/phosphatase superfamily (homologous_superfamily)
IPR000001,3,Kringle (domain)
IPR000413,3,Integrin alpha chain (family)
IPR002909,3,IPT domain (domain)
IPR001559,3,Phosphotriesterase (family)
IPR001876,3,"Zinc finger, RanBP2-type (domain)"
IPR000859,3,CUB domain (domain)
IPR000418,3,Ets domain (domain)
IPR002223,3,Pancreatic trypsin inhibitor Kunitz domain (domain)
IPR002219,3,"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain (domain)"
IPR001466,3,Beta-lactamase-related (domain)
IPR001315,3,CARD domain (domain)
IPR000081,3,"Peptidase C3, picornavirus core protein 2A (domain)"
IPR001258,3,NHL repeat (repeat)
IPR003903,3,Ubiquitin interacting motif (conserved_site)
IPR001270,3,ClpA/B family (family)
IPR001296,3,"Glycosyl transferase, family 1 (domain)"
IPR002156,3,Ribonuclease H domain (domain)
IPR002745,3,Phosphotransferase KptA/Tpt1 (family)
IPR001009,3,Influenza RNA-dependent RNA polymerase subunit PA (family)
IPR000777,3,"Human immunodeficiency virus 1, envelope glycoprotein Gp120 (domain)"
IPR001018,3,"Beta-lactamase, class-B, conserved site (conserved_site)"
IPR001584,3,"Integrase, catalytic core (domain)"
IPR002588,3,Alphavirus-like methyltransferase domain (domain)
IPR001788,3,"RNA-dependent RNA polymerase, alsuviricetes (domain)"
IPR001037,3,"Integrase, C-terminal, retroviral (domain)"
IPR001763,3,Rhodanese-like domain (domain)
IPR001610,3,PAC motif (repeat)
IPR003308,3,"Integrase, N-terminal zinc-binding domain (domain)"
IPR000700,3,"PAS-associated, C-terminal (domain)"
IPR000668,3,"Peptidase C1A, papain C-terminal (domain)"
IPR002527,3,Picornavirus 2B protein (domain)
IPR001660,3,Sterile alpha motif domain (domain)
IPR000169,3,"Cysteine peptidase, cysteine active site (active_site)"
IPR001079,3,"Galectin, carbohydrate recognition domain (domain)"
IPR001314,3,"Peptidase S1A, chymotrypsin family (family)"
IPR000569,3,HECT domain (domain)
IPR000092,3,Polyprenyl synthetase-like (family)
IPR001995,3,"Peptidase A2A, retrovirus, catalytic (domain)"
IPR000286,3,Histone deacetylase family (family)
IPR000276,3,"G protein-coupled receptor, rhodopsin-like (family)"
IPR001425,3,Archaeal/bacterial/fungal rhodopsins (family)
IPR004000,3,Actin family (family)
IPR003000,3,Sirtuin family (family)
IPR001356,3,Homeodomain (domain)
IPR002999,3,Tudor domain (domain)
IPR004001,3,"Actin, conserved site (conserved_site)"
IPR003118,3,Pointed domain (domain)
IPR003138,3,Picornavirus coat protein VP4 (family)
IPR002345,2,Lipocalin (family)
IPR018200,2,"Ubiquitin specific protease, conserved site (conserved_site)"
IPR018201,2,"Beta-ketoacyl synthase, active site (active_site)"
IPR000752,2,Flavivirus non-structural protein NS2A (domain)
IPR002350,2,Kazal domain (domain)
IPR000873,2,AMP-dependent synthetase/ligase domain (domain)
IPR016089,2,"Chalcone isomerase, orthogonal bundle domain superfamily (homologous_superfamily)"
IPR000757,2,Glycoside hydrolase family 16 (domain)
IPR043509,2,"Brdt, bromodomain, repeat II (domain)"
IPR043508,2,"Brdt, bromodomain, repeat I (domain)"
IPR000772,2,"Ricin B, lectin domain (domain)"
IPR016135,2,Ubiquitin-conjugating enzyme/RWD-like (homologous_superfamily)
IPR041782,2,"PTPN14/21, FERM domain C-lobe (domain)"
IPR016009,2,tRNA methyltransferase TRMD/TRM10-type domain (domain)
IPR041668,2,Rh5 coiled-coil domain (domain)
IPR016035,2,Acyl transferase/acyl hydrolase/lysophospholipase (homologous_superfamily)
IPR015063,2,USP8 dimerisation domain (domain)
IPR015233,2,"Orange carotenoid-binding protein, N-terminal (domain)"
IPR002460,2,Alpha-synuclein (family)
IPR000654,2,"G-protein alpha subunit, group Q (family)"
IPR002117,2,p53 tumour suppressor family (family)
IPR018316,2,"Tubulin/FtsZ, 2-layer sandwich domain (domain)"
IPR002386,2,Amicyanin/Pseudoazurin (family)
IPR041489,2,PDZ domain 6 (domain)
IPR002376,2,"Formyl transferase, N-terminal (domain)"
IPR041546,2,"ClpA/ClpB, AAA lid domain (domain)"
IPR041569,2,"AAA ATPase, AAA+ lid domain (domain)"
IPR002372,2,Pyrrolo-quinoline quinone repeat (repeat)
IPR015947,2,PUA-like superfamily (homologous_superfamily)
IPR018229,2,"Rhodopsin, retinal binding site (binding_site)"
IPR018170,2,"Aldo/keto reductase, conserved site (conserved_site)"
IPR041791,2,"Krev interaction trapped protein 1, FERM domain C-lobe (domain)"
IPR043148,2,"CDP-glycerol glycerophosphotransferase, C-terminal domain (homologous_superfamily)"
IPR000800,2,Notch domain (domain)
IPR042184,2,"YqeY/Aim41, N-terminal domain (homologous_superfamily)"
IPR018097,2,"EGF-like calcium-binding, conserved site (conserved_site)"
IPR018087,2,"Glycoside hydrolase, family 5, conserved site (conserved_site)"
IPR017508,2,"HipA, N-terminal subdomain 1 (domain)"
IPR017856,2,"Integrase-like, N-terminal (homologous_superfamily)"
IPR042235,2,"Zona pellucida, ZP-C domain (homologous_superfamily)"
IPR002181,2,"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain (domain)"
IPR002172,2,Low-density lipoprotein (LDL) receptor class A repeat (repeat)
IPR016185,2,Pre-ATP-grasp domain superfamily (homologous_superfamily)
IPR002165,2,Plexin repeat (repeat)
IPR018085,2,"Uracil-DNA glycosylase, active site (active_site)"
IPR042002,2,Sortase C (family)
IPR042098,2,Taurine dioxygenase TauD-like superfamily (homologous_superfamily)
IPR018000,2,"Neurotransmitter-gated ion-channel, conserved site (conserved_site)"
IPR017970,2,"Homeobox, conserved site (conserved_site)"
IPR000867,2,"Insulin-like growth factor-binding protein, IGFBP (domain)"
IPR014895,2,Alginate lyase 2 (domain)
IPR017360,2,Anthrax toxin receptor (family)
IPR017182,2,Methyltransferase METTL16/PsiM (family)
IPR042635,2,MEGF10/SREC1/2-like (family)
IPR016461,2,O-methyltransferase COMT-type (family)
IPR042972,2,Insulinoma-associated protein 1/2 (family)
IPR041906,2,"Ribosomal S6 kinase, N-terminal catalytic domain (domain)"
IPR043058,2,"KRIT, N-terminal NPxY motif-rich domain superfamily (homologous_superfamily)"
IPR016248,2,Fibroblast growth factor receptor family (family)
IPR018119,2,"Strictosidine synthase, conserved region (domain)"
IPR016244,2,"Tyrosine-protein kinase, HGF/MSP receptor (family)"
IPR016239,2,Ribosomal protein S6 kinase II (family)
IPR043136,2,B30.2/SPRY domain superfamily (homologous_superfamily)
IPR017977,2,"Zona pellucida domain, conserved site (conserved_site)"
IPR043149,2,"CDP-glycerol glycerophosphotransferase, N-terminal domain (homologous_superfamily)"
IPR018159,2,Spectrin/alpha-actinin (repeat)
IPR004021,2,HIN-200/IF120x (domain)
IPR002557,2,Chitin binding domain (domain)
IPR014853,2,"VWF/SSPO/Zonadhesin-like, cysteine-rich domain (domain)"
IPR000404,2,Flavivirus non-structural protein NS4A (domain)
IPR012346,2,"p53/RUNT-type transcription factor, DNA-binding domain superfamily (homologous_superfamily)"
IPR012347,2,Ferritin-like (homologous_superfamily)
IPR046811,2,"RNA-directed RNA polymerase, thumb subdomain, flavivirus (domain)"
IPR002925,2,Dienelactone hydrolase (domain)
IPR002919,2,"Trypsin Inhibitor-like, cysteine rich domain (domain)"
IPR012745,2,Pseudoazurin (family)
IPR000336,2,"Flavivirus/Alphavirus glycoprotein, immunoglobulin-like domain superfamily (homologous_superfamily)"
IPR012982,2,"PARP1-like, PADR1 domain, zinc ribbon fold (domain)"
IPR013032,2,"EGF-like, conserved site (conserved_site)"
IPR013154,2,"Alcohol dehydrogenase-like, N-terminal (domain)"
IPR013036,2,Domain of unknown function DUF1587 (domain)
IPR013039,2,Domain of unknown function DUF1588 (domain)
IPR013042,2,Domain of unknown function DUF1592 (domain)
IPR013043,2,Domain of unknown function DUF1595 (domain)
IPR002901,2,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain (domain)
IPR046350,2,Cystatin superfamily (homologous_superfamily)
IPR002883,2,CBM10/dockerin domain (domain)
IPR002877,2,"Ribosomal RNA methyltransferase, FtsJ domain (domain)"
IPR012344,2,"Matrix protein, lentiviral and alpha-retroviral, N-terminal (homologous_superfamily)"
IPR000328,2,Retroviral envelope protein GP41-like (domain)
IPR047024,2,"Gamma-aminobutyric acid receptor subunit alpha 1-6, transmembrane domain (domain)"
IPR011998,2,"Envelope glycoprotein E, central and dimerisation domain, flavivirus (domain)"
IPR011070,2,"Globular protein, non-globular alpha/beta subunit (homologous_superfamily)"
IPR011098,2,G5 domain (domain)
IPR047559,2,"Heme-oxidized IRP2 ubiquitin ligase 1, modified RING finger, HC subclass (domain)"
IPR047558,2,"Heme-oxidized IRP2 ubiquitin ligase 1, BRcat domain (domain)"
IPR047557,2,"Heme-oxidized IRP2 ubiquitin ligase 1, Rcat domain (domain)"
IPR011330,2,"Glycoside hydrolase/deacetylase, beta/alpha-barrel (homologous_superfamily)"
IPR047530,2,"RNA-dependent RNA polymerase, flavivirus (domain)"
IPR011492,2,"Non-structural protein NS3-like, DEAD box helicase, flavivirus (domain)"
IPR011545,2,DEAD/DEAH box helicase domain (domain)
IPR047311,2,"RNA-dependent RNA polymerase, togavirus (domain)"
IPR011615,2,"p53, DNA-binding domain (domain)"
IPR011656,2,"Notch, NODP domain (domain)"
IPR011761,2,ATP-grasp fold (domain)
IPR047191,2,"Stimulator of interferon genes protein, C-terminal (domain)"
IPR047153,2,TRIM45/56/19-like (family)
IPR003018,2,GAF domain (domain)
IPR003008,2,"Tubulin/FtsZ, GTPase domain (domain)"
IPR046341,2,SET domain superfamily (homologous_superfamily)
IPR013162,2,"CD80-like, immunoglobulin C2-set (domain)"
IPR000560,2,"Histidine phosphatase superfamily, clade-2 (family)"
IPR018389,2,TRAP transporter solute receptor DctP (family)
IPR000494,2,Receptor L-domain (domain)
IPR014030,2,"Beta-ketoacyl synthase-like, N-terminal (domain)"
IPR014031,2,"Beta-ketoacyl synthase, C-terminal (domain)"
IPR014043,2,Acyl transferase domain (domain)
IPR014046,2,Diadenylate cyclase (family)
IPR014347,2,Tautomerase/MIF superfamily (homologous_superfamily)
IPR014392,2,"Protein-tyrosine phosphatase, non-receptor type-14/21 (family)"
IPR014412,2,"Genome polyprotein, Flavivirus (family)"
IPR014716,2,"Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1 (homologous_superfamily)"
IPR013178,2,Histone acetyltransferase Rtt109/CBP (family)
IPR014721,2,"Small ribosomal subunit protein uS5 domain 2-type fold, subgroup (homologous_superfamily)"
IPR002535,2,Flavivirus polyprotein propeptide (domain)
IPR044611,2,Ubiquitin-protein ligase E3A/B/C-like (family)
IPR002509,2,NodB homology domain (domain)
IPR002507,2,Reovirus non-structural protein sigma NS (family)
IPR044570,2,Histone-lysine N-methyltransferase Set1-like (family)
IPR044399,2,"Myoglobin-like, M family globin domain (domain)"
IPR044374,2,"Non-structural protein 3, SUD-N macrodomain, SARS-CoV (domain)"
IPR000488,2,Death domain (domain)
IPR000487,2,"Non-structural protein NS2B, flavivirus (domain)"
IPR044936,2,Alphavirus nsP2 protease domain superfamily (homologous_superfamily)
IPR013872,2,p53 transactivation domain (domain)
IPR045864,2,Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL) (homologous_superfamily)
IPR013210,2,"Leucine-rich repeat-containing N-terminal, plant-type (domain)"
IPR045851,2,"AMP-binding enzyme, C-terminal domain superfamily (homologous_superfamily)"
IPR045585,2,"Diadenylate cyclase CdaA, N-terminal domain (domain)"
IPR013520,2,"Exonuclease, RNase T/DNA polymerase III (domain)"
IPR013643,2,Calicivirus coat protein C-terminal (domain)
IPR013656,2,PAS fold-4 (domain)
IPR013694,2,VIT domain (domain)
IPR013755,2,"Flaviviral glycoprotein E, central domain, subdomain 1 (homologous_superfamily)"
IPR013756,2,"Flaviviral glycoprotein E, central domain, subdomain 2 (homologous_superfamily)"
IPR045168,2,YTH domain containing protein (family)
IPR002649,2,tRNA (guanine-N1-)-methyltransferase TrmD (family)
IPR013803,2,"Amyloidogenic glycoprotein, amyloid-beta peptide (domain)"
IPR002620,2,Alphavirus nsp2 protease domain (domain)
IPR013815,2,"ATP-grasp fold, subdomain 1 (homologous_superfamily)"
IPR013830,2,SGNH hydrolase-type esterase domain (domain)
IPR045061,2,Tubulin-like protein FtsZ/CetZ (family)
IPR018371,2,"Chitin-binding, type 1, conserved site (conserved_site)"
IPR002049,2,Laminin-type EGF domain (domain)
IPR018391,2,Pyrrolo-quinoline quinone beta-propeller repeat (repeat)
IPR018392,2,LysM domain (domain)
IPR036612,2,"K Homology domain, type 1 superfamily (homologous_superfamily)"
IPR027287,2,"Glycoprotein E, immunoglobulin-like domain, flavivirus (domain)"
IPR036574,2,"Knottin, scorpion toxin-like superfamily (homologous_superfamily)"
IPR036529,2,"Coactivator CBP, KIX domain superfamily (homologous_superfamily)"
IPR036525,2,"Tubulin/FtsZ, GTPase domain superfamily (homologous_superfamily)"
IPR027353,2,NET domain (domain)
IPR001562,2,"Zinc finger, Btk motif (conserved_site)"
IPR036514,2,SGNH hydrolase superfamily (homologous_superfamily)
IPR036508,2,Chitin binding domain superfamily (homologous_superfamily)
IPR036477,2,"Formyl transferase, N-terminal domain superfamily (homologous_superfamily)"
IPR036457,2,PPM-type phosphatase-like domain superfamily (homologous_superfamily)
IPR001214,2,SET domain (domain)
IPR028299,2,"ClpA/B, conserved site 2 (conserved_site)"
IPR004045,2,"Glutathione S-transferase, N-terminal (domain)"
IPR028871,2,"Blue (type 1) copper protein, binding site (binding_site)"
IPR028889,2,Ubiquitin specific protease domain (domain)
IPR028949,2,Novel toxin 15 (domain)
IPR001528,2,Flavivirus non-structural protein NS4B (domain)
IPR036399,2,"Pesticidal crystal protein, central domain superfamily (homologous_superfamily)"
IPR001178,2,"Pesticidal crystal protein, domain II (domain)"
IPR001578,2,"Peptidase C12, ubiquitin carboxyl-terminal hydrolase (domain)"
IPR026591,2,"Sirtuin, catalytic core small domain superfamily (homologous_superfamily)"
IPR001157,2,"Non-structural protein NS1, flavivirus (domain)"
IPR036779,2,LysM domain superfamily (homologous_superfamily)
IPR024949,2,Bet v I type allergen (family)
IPR025110,2,"AMP-binding enzyme, C-terminal domain (domain)"
IPR025155,2,WxxW domain (domain)
IPR025157,2,Hemagglutinin repeat (repeat)
IPR001607,2,"Zinc finger, UBP-type (domain)"
IPR025662,2,"Sigma-54 interaction domain, ATP-binding site 1 (binding_site)"
IPR036728,2,Pheromone/general odorant binding protein superfamily (homologous_superfamily)
IPR036716,2,"Pesticidal crystal protein, N-terminal domain superfamily (homologous_superfamily)"
IPR001579,2,"Glycosyl hydrolase family 18, active site (active_site)"
IPR036674,2,p53-like tetramerisation domain superfamily (homologous_superfamily)
IPR025997,2,Periplasmic binding protein (domain)
IPR026045,2,Ferric binding protein (family)
IPR026264,2,Type IV secretion system protein VirB8/PtlE (family)
IPR001586,2,"Beta-lactamase, class-C active site (active_site)"
IPR026470,2,"Flavivirus envelope glycoprotein E, Stem/Anchor domain (domain)"
IPR026490,2,mRNA cap 0/1 methyltransferase (domain)
IPR026496,2,Putative ATP-grasp target RiPP (domain)
IPR029026,2,"tRNA (guanine-N1-)-methyltransferase, N-terminal (homologous_superfamily)"
IPR029028,2,Alpha/beta knot methyltransferases (homologous_superfamily)
IPR001510,2,"Zinc finger, PARP-type (domain)"
IPR001394,2,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase (domain)"
IPR035992,2,Ricin B-like lectins (homologous_superfamily)
IPR032022,2,"KRIT, N-terminal NPxY motif-rich region (domain)"
IPR032047,2,"Telomere resolvase ResT/TelK, catalytic domain (domain)"
IPR035899,2,Dbl homology (DH) domain superfamily (homologous_superfamily)
IPR001370,2,BIR repeat (repeat)
IPR035860,2,"Tyrosine-protein kinase JAK2, SH2 domain (domain)"
IPR001398,2,Macrophage migration inhibitory factor (family)
IPR032821,2,"Polyketide synthase, C-terminal extension (domain)"
IPR035589,2,"Janus kinase 2, catalytic domain (domain)"
IPR035993,2,Notch-like domain superfamily (homologous_superfamily)
IPR035588,2,"Janus kinase 2, pseudokinase domain (domain)"
IPR035574,2,"Tyrosine-protein kinase BTK, SH3 domain (domain)"
IPR001387,2,Cro/C1-type helix-turn-helix domain (domain)
IPR033689,2,NAD-dependent formate dehydrogenase (family)
IPR001390,2,"Gamma-aminobutyric-acid A receptor, alpha subunit (family)"
IPR033749,2,"Polyprenyl synthetase, conserved site (conserved_site)"
IPR034701,2,Diadenylate cyclase CdaA (family)
IPR034170,2,Retropepsin-like catalytic domain (domain)
IPR031856,2,Bacterial antitoxin YdaS-like (family)
IPR031815,2,Protein of unknown function DUF5074 (family)
IPR001507,2,Zona pellucida domain (domain)
IPR001304,2,C-type lectin-like (domain)
IPR001227,2,Acyl transferase domain superfamily (homologous_superfamily)
IPR001235,2,"Blue (type 1) copper protein, plastocyanin-type (family)"
IPR029062,2,Class I glutamine amidotransferase-like (homologous_superfamily)
IPR036352,2,Sema domain superfamily (homologous_superfamily)
IPR029158,2,Stimulator of interferon genes protein (family)
IPR001242,2,Condensation domain (domain)
IPR029431,2,Tumour protein p53-inducible nuclear protein (family)
IPR036253,2,"Flavivirus glycoprotein, central and dimerisation domain superfamily (homologous_superfamily)"
IPR036188,2,FAD/NAD(P)-binding domain superfamily (homologous_superfamily)
IPR031477,2,E domain (domain)
IPR001320,2,"Ionotropic glutamate receptor, C-terminal (domain)"
IPR001433,2,Oxidoreductase FAD/NAD(P)-binding (domain)
IPR036084,2,Serine protease inhibitor-like superfamily (homologous_superfamily)
IPR036058,2,Kazal domain superfamily (homologous_superfamily)
IPR036056,2,"Fibrinogen-like, C-terminal (homologous_superfamily)"
IPR036055,2,LDL receptor-like superfamily (homologous_superfamily)
IPR031273,2,Protein mono-ADP-ribosyltransferase PARP4 (family)
IPR036052,2,"Tryptophan synthase beta chain-like, PALP domain superfamily (homologous_superfamily)"
IPR024757,2,"Cell division protein FtsZ, C-terminal (domain)"
IPR024657,2,"COMPASS complex Set1 subunit, N-SET domain (domain)"
IPR024600,2,"Notch, C-terminal (domain)"
IPR020805,2,"Cell division protein FtsZ, conserved site (conserved_site)"
IPR001940,2,Peptidase S1C (family)
IPR038688,2,Flavivirus polyprotein propeptide superfamily (homologous_superfamily)
IPR038650,2,"PADR1, C-terminal domain superfamily (homologous_superfamily)"
IPR038623,2,"Stimulator of interferon genes protein, C-terminal domain superfamily (homologous_superfamily)"
IPR038586,2,Tctex-1-like superfamily (homologous_superfamily)
IPR001926,2,"Tryptophan synthase beta chain-like, PALP domain (domain)"
IPR020693,2,"Tyrosine-protein kinase, non-receptor Jak2 (family)"
IPR038404,2,TRAP transporter solute receptor DctP superfamily (homologous_superfamily)
IPR020828,2,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain (domain)"
IPR001977,2,Dephospho-CoA kinase (family)
IPR020829,2,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain (domain)"
IPR020830,2,"Glyceraldehyde 3-phosphate dehydrogenase, active site (active_site)"
IPR020831,2,Glyceraldehyde/Erythrose phosphate dehydrogenase family (family)
IPR020841,2,"Polyketide synthase, beta-ketoacyl synthase domain (domain)"
IPR020845,2,"AMP-binding, conserved site (conserved_site)"
IPR020847,2,"AP endonuclease 1, binding site (binding_site)"
IPR020848,2,"AP endonuclease 1, conserved site (conserved_site)"
IPR020849,2,"Small GTPase, Ras-type (family)"
IPR001943,2,UVR domain (domain)
IPR000978,2,"Adenoviral fibre protein, knob (domain)"
IPR038336,2,NET domain superfamily (homologous_superfamily)
IPR040557,2,"VIP1, N-terminal (domain)"
IPR000916,2,Bet v I/Major latex protein (domain)
IPR000923,2,Blue (type 1) copper domain (domain)
IPR000931,2,Adenovirus fibre protein (family)
IPR041100,2,T-Q ester bond containing domain (domain)
IPR000939,2,"Adenoviral fibre protein, repeat/shaft region (repeat)"
IPR019004,2,Uncharacterised protein YqeY/Aim41 (family)
IPR040926,2,"Cellular tumor antigen p53, transactivation domain 2 (domain)"
IPR040632,2,"Sulfotransferase, S. mansonii-type (family)"
IPR019587,2,Polyketide cyclase/dehydrase (family)
IPR020103,2,"Pseudouridine synthase, catalytic domain superfamily (homologous_superfamily)"
IPR011047,2,Quinoprotein alcohol dehydrogenase-like superfamily (homologous_superfamily)
IPR040205,2,HIN-200 family (family)
IPR002017,2,Spectrin repeat (repeat)
IPR040079,2,Glutathione transferase family (family)
IPR002011,2,"Tyrosine-protein kinase, receptor class II, conserved site (conserved_site)"
IPR019829,2,"Macrophage migration inhibitory factor, conserved site (conserved_site)"
IPR019954,2,Ubiquitin conserved site (conserved_site)
IPR019956,2,Ubiquitin domain (domain)
IPR038345,2,"Flavivirus envelope glycoprotein E, Stem/Anchor domain superfamily (homologous_superfamily)"
